--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
042.105  000.075  000.075: require('mason-core.path')
042.405  000.065  000.065: require('mason-core.functional.data')
042.504  000.097  000.097: require('mason-core.functional.function')
042.637  000.131  000.131: require('mason-core.functional.list')
042.709  000.069  000.069: require('mason-core.functional.relation')
042.804  000.093  000.093: require('mason-core.functional.logic')
042.885  000.068  000.068: require('mason-core.functional.number')
042.977  000.090  000.090: require('mason-core.functional.string')
043.063  000.084  000.084: require('mason-core.functional.table')
043.131  000.066  000.066: require('mason-core.functional.type')
043.132  000.897  000.134: require('mason-core.functional')
043.150  001.045  000.148: require('mason-core.platform')
043.313  000.162  000.162: require('mason.settings')
043.315  001.377  000.095: require('mason-core.installer.InstallLocation')
043.681  000.144  000.144: require('mason-core.log')
043.683  000.226  000.082: require('mason-core.EventEmitter')
043.817  000.134  000.134: require('mason-registry.sources')
043.829  000.513  000.154: require('mason-registry')
043.830  001.969  000.080: require('mason')
044.091  000.170  000.170: require('mason.api.command')
044.265  000.066  000.066: require('mason-lspconfig.settings')
044.266  000.173  000.107: require('mason-lspconfig')
044.396  000.126  000.126: require('mason-core.async')
044.584  000.061  000.061: require('mason-core.async.uv')
044.587  000.191  000.130: require('mason-core.fs')
044.881  000.103  000.103: require('mason-core.result')
045.220  000.156  000.156: require('mason-core.process')
045.333  000.112  000.112: require('mason-core.spawn')
045.334  000.349  000.081: require('mason-core.installer.managers.powershell')
045.394  000.059  000.059: require('mason.version')
045.395  000.514  000.106: require('mason-core.fetch')
045.478  000.082  000.082: require('mason-core.providers')
045.636  000.085  000.085: require('mason-core.optional')
046.032  000.167  000.167: require('mason-core.purl')
046.130  000.097  000.097: require('mason-core.async.control')
046.132  000.384  000.120: require('mason-core.package.AbstractPackage')
046.651  000.096  000.096: require('mason-core.installer.compiler.expr')
046.654  000.247  000.151: require('mason-core.installer.compiler.link')
047.174  000.076  000.076: require('mason-core.installer.context.InstallContextCwd')
047.266  000.091  000.091: require('mason-core.installer.context.InstallContextFs')
047.342  000.076  000.076: require('mason-core.installer.context.InstallContextSpawn')
047.445  000.102  000.102: require('mason-core.receipt')
047.453  000.515  000.171: require('mason-core.installer.context')
047.454  000.578  000.063: require('mason-core.installer')
047.458  000.719  000.140: require('mason-core.installer.managers.std')
047.459  000.804  000.086: require('mason-core.installer.compiler.schemas')
047.542  000.083  000.083: require('mason-core.installer.compiler.util')
047.545  001.274  000.140: require('mason-core.installer.compiler')
047.671  000.124  000.124: require('mason-core.installer.linker')
047.672  001.539  000.141: require('mason-core.installer.InstallRunner')
047.768  000.095  000.095: require('mason-core.installer.UninstallRunner')
047.771  002.134  000.116: require('mason-core.package')
047.772  002.293  000.074: require('mason-registry.sources.util')
047.776  003.124  000.131: require('mason-registry.sources.github')
047.933  000.092  000.092: require('mason-registry.sources.synthesized')
049.880  000.071  000.071: require('mason-lspconfig.mappings')
049.882  000.153  000.082: require('mason-lspconfig.features.automatic_enable')
053.841  000.506  000.506: require('vim.lsp.protocol')
053.877  000.695  000.189: require('vim.lsp.log')
054.608  000.005  000.005: require('vim._core.util')
054.615  000.737  000.732: require('vim.lsp.util')
054.961  000.158  000.158: require('vim.lsp.sync')
054.965  000.349  000.190: require('vim.lsp._changetracking')
055.345  000.121  000.121: require('vim.lsp._transport')
055.349  000.003  000.003: require('vim._core.stringbuffer')
055.369  000.404  000.279: require('vim.lsp.rpc')
055.401  002.911  000.726: require('vim.lsp')
058.515  000.057  000.057: require('mason-lspconfig.notify')
058.531  000.189  000.132: require('mason-lspconfig.api.command')
058.718  000.094  000.094: require('cmp_nvim_lsp.source')
058.720  000.186  000.091: require('cmp_nvim_lsp')
059.724  017.921  008.638: require('plugins.lsp')
059.728  054.304  000.246: sourcing /Users/rohan/.config/nvim/init.lua
059.735  001.059: sourcing vimrc file(s)
060.065  000.118  000.118: sourcing nvim_exec2() called at /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua:0
060.067  000.165  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua
060.266  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/synload.vim
060.313  000.187  000.140: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/syntax.vim
061.453  000.078  000.078: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/gzip.vim
