--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
043.596  000.113  000.113: require('mason-core.spawn')
043.598  000.343  000.074: require('mason-core.installer.managers.powershell')
043.656  000.057  000.057: require('mason.version')
043.657  000.503  000.103: require('mason-core.fetch')
043.736  000.079  000.079: require('mason-core.providers')
043.888  000.081  000.081: require('mason-core.optional')
044.274  000.164  000.164: require('mason-core.purl')
044.369  000.095  000.095: require('mason-core.async.control')
044.372  000.375  000.116: require('mason-core.package.AbstractPackage')
044.881  000.093  000.093: require('mason-core.installer.compiler.expr')
044.885  000.242  000.149: require('mason-core.installer.compiler.link')
045.390  000.071  000.071: require('mason-core.installer.context.InstallContextCwd')
045.478  000.087  000.087: require('mason-core.installer.context.InstallContextFs')
045.550  000.071  000.071: require('mason-core.installer.context.InstallContextSpawn')
045.648  000.097  000.097: require('mason-core.receipt')
045.656  000.495  000.169: require('mason-core.installer.context')
045.656  000.553  000.058: require('mason-core.installer')
045.661  000.693  000.141: require('mason-core.installer.managers.std')
045.662  000.777  000.084: require('mason-core.installer.compiler.schemas')
045.752  000.089  000.089: require('mason-core.installer.compiler.util')
045.756  001.251  000.143: require('mason-core.installer.compiler')
045.876  000.119  000.119: require('mason-core.installer.linker')
045.878  001.505  000.134: require('mason-core.installer.InstallRunner')
045.969  000.090  000.090: require('mason-core.installer.UninstallRunner')
045.971  002.083  000.113: require('mason-core.package')
045.973  002.235  000.072: require('mason-registry.sources.util')
045.975  003.042  000.122: require('mason-registry.sources.github')
046.091  000.087  000.087: require('mason-registry.sources.synthesized')
048.017  000.065  000.065: require('mason-lspconfig.mappings')
048.019  000.138  000.073: require('mason-lspconfig.features.automatic_enable')
051.478  000.637  000.637: require('vim.lsp.protocol')
051.497  000.780  000.144: require('vim.lsp.log')
052.312  000.005  000.005: require('vim._core.util')
052.329  000.830  000.825: require('vim.lsp.util')
052.686  000.154  000.154: require('vim.lsp.sync')
052.688  000.359  000.205: require('vim.lsp._changetracking')
053.060  000.122  000.122: require('vim.lsp._transport')
053.065  000.004  000.004: require('vim._core.stringbuffer')
053.093  000.404  000.277: require('vim.lsp.rpc')
053.126  002.916  000.543: require('vim.lsp')
056.639  000.057  000.057: require('mason-lspconfig.notify')
056.649  000.190  000.133: require('mason-lspconfig.api.command')
056.836  000.095  000.095: require('cmp_nvim_lsp.source')
056.837  000.186  000.091: require('cmp_nvim_lsp')
057.856  017.786  008.514: require('plugins.lsp')
057.858  051.036  000.232: sourcing /Users/rohan/.config/nvim/init.lua
057.864  001.022: sourcing vimrc file(s)
058.118  000.094  000.094: sourcing nvim_exec2() called at /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua:0
058.119  000.138  000.044: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua
058.294  000.043  000.043: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/synload.vim
058.338  000.163  000.120: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/syntax.vim
059.478  000.077  000.077: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/gzip.vim
059.875  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
059.896  000.392  000.320: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchit.vim
059.978  000.058  000.058: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchparen.vim
060.372  000.083  000.083: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
060.392  000.388  000.305: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/netrwPlugin.vim
060.504  000.080  000.080: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/rplugin.vim
060.574  000.038  000.038: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tarPlugin.vim
060.610  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tutor.vim
060.685  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/zipPlugin.vim
060.741  000.027  000.027: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/editorconfig.lua
060.798  000.030  000.030: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/man.lua
060.885  000.057  000.057: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/net.lua
060.959  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/osc52.lua
061.036  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/shada.lua
061.085  000.018  000.018: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/spellfile.lua
061.106  001.622: loading rtp plugins
061.517  000.031  000.031: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/gitsigns.nvim/plugin/gitsigns.lua
061.729  000.027  000.027: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/LuaSnip/plugin/luasnip.vim
062.595  000.793  000.793: require('vim.filetype')
062.732  000.974  000.181: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/LuaSnip/plugin/luasnip.lua
062.976  000.067  000.067: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/neo-tree.nvim/plugin/neo-tree.lua
063.771  000.585  000.585: require('cmp.utils.highlight')
063.919  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.local/share/nvim/site/pack/plugins/start/nvim-cmp/plugin/cmp.lua:0
063.920  000.775  000.187: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/nvim-cmp/plugin/cmp.lua
064.130  000.091  000.091: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/nvim-lspconfig/plugin/lspconfig.lua
065.316  000.108  000.108: require('vim.treesitter.language')
065.383  000.067  000.067: require('vim.func')
065.489  000.105  000.105: require('vim.treesitter._range')
065.572  000.082  000.082: 
